,,,,,,
Land At Nook Lane,Fees-Analysts & Consultants,BURY MEADOWS - MASTER PLAN AND CAF BID,B000024242/60561,Proffits Investing In Communities,29 August 2023,703.00
Housing Advice,Agency Staff,TEMP STAFF - P/E 06.08.23,B000024242/61860,Vivid Resourcing,29 August 2023,"1,355.04"
Registration Of Electors,Training Expenses,XPRESS USER GROUP,B000024245/17209,Civica Uk Limited,29 August 2023,420.00
Parks & Open Spaces,Rechargeable Repairs,POTHOLE PATCHING ,B000024245/38733,Marchbridge Builders Ltd,29 August 2023,"1,649.56"
Corporate Property,Asset Maint R&M,WEST END COMM CENTRE - RE PLASTER AND PAINT WALL,B000024245/59128,George Pearce & Sons Ltd,29 August 2023,"1,174.20"
Housing Standards,Agency Staff,TEMP STAFF - P/E 06.08.23,B000024245/61657,G2 Recruitment Solutions,29 August 2023,"1,994.09"
Environmental Protection,Agency Staff,TEMP STAFF - P/E 06.08.23,B000024245/61860,Vivid Resourcing,29 August 2023,945.00
Environmental Protection,Fees-Analysts & Consultants,LEGAL FEES ,B000024246/57667,Mr Leo Charalambides,29 August 2023,"1,250.00"
Corporate Property Bus Unit,Agency Staff,STAFF P/E 06.08.23,B000024246/61657,G2 Recruitment Solutions,29 August 2023,"1,215.00"
Licensing,Office Consumables,GOODS FOR TAXI LICENSING,B000024247/54997,New Auto Ltd,29 August 2023,774.90
Wi-Fi Upgrade,Equipment,1 MERAKI ENTERPRISE LICENSE,B000024247/68731,Cloudcontrolled,29 August 2023,157.00
Wi-Fi Upgrade,Equipment,1 MERAKI MR44 LICENSE,B000024247/68731,Cloudcontrolled,29 August 2023,518.00
Accountancy,Agency Staff,AGENCY COSTS- W/C 31/07/23,B000024248/58852,Oyster Partnership,29 August 2023,"4,260.00"
Hmo,Agency Staff,TEMP STAFF W/C 31/07/23,B000024248/58852,Oyster Partnership,29 August 2023,533.00
Hmo,Agency Staff,TEMP STAFF W/C 31/07/23,B000024248/58852,Oyster Partnership,29 August 2023,"1,752.40"
Cvmu,Materials-Direct,LAMP SIDE REPEATER,B000024251/1164,Dennis Eagle Limited,29 August 2023,432.83
Cvmu,Materials-Stock Issues,ACTIVE XLS,B000024251/4467,Hope & Brown Ltd,29 August 2023,214.00
Cvmu,Materials-Direct,STEAM CLEAN X 2,B000024251/58642,Keep Em Clean,29 August 2023,262.50
Cvmu,Fuel Stock,FLEETSTAR PERFORMANCE,B000024251/59186,Sar Lubricants,29 August 2023,"1,075.00"
Cvmu,Fuel Stock,HYDRAULIC OIL,B000024251/59186,Sar Lubricants,29 August 2023,"1,100.00"
Hyndburn Cemeteries,Gas Oil Red Diesel,OIL,B000024253/27901,Teleshore (Uk) Ltd,29 August 2023,250.00
Accrington Crematorium,Cleaning Of Buildings,DEEP CLEAN POST WORK,B000024253/68249,Gicm Limited,29 August 2023,"1,049.00"
Corporate Property,Asset Maint R&M,REPLACED FAULTY KEYPAD,B000024258/58448,Gate Automation Solutions Ltd,29 August 2023,227.02
Cvmu,Materials-Direct,PARTS,B000024260/8014,Terberg Matec Uk,29 August 2023,909.83
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024264/9294,Stanley Brothers (Tippers) Ltd,29 August 2023,540.00
Knuzden Rec Play Area & Muga,Contractor Other,INSPECTION AND MUGA AT KNUZDEN RECREATION GD,B000024266/61071,Morral Play Services Ltd,29 August 2023,325.00
Building Control B.U.,Agency Staff,TEMPORARY STAFF W/C 31-07-23,B000024267/58852,Oyster Partnership,29 August 2023,965.79
Development Control B.U.,Agency Staff,TEMPORARY STAFF W/C 31/07/23,B000024267/58852,Oyster Partnership,29 August 2023,463.20
Planning Policy B.U.,Agency Staff,TEMPORARY STAFW/C 31-7-23,B000024267/58852,Oyster Partnership,29 August 2023,"1,290.50"
Allotments,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,14.23
Building Control B.U.,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,42.74
Consultancy-Engineering Div,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,28.46
Development,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,113.84
Development Control B.U.,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,128.07
Environmental Initiatives B.U.,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,28.46
Housing Advice,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,71.15
Management Business Unit,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,14.23
Planning Policy B.U.,Photocopying,PHOTOCOPIER CHARGES,B000024268/60165,Specialist Computer Centres Plc,29 August 2023,28.46
Housing Benefit Administration,Agency Staff,TEMP STAFF - P/E 13.08.23 ,B000024277/33923,Eden Brown Limited,29 August 2023,"1,010.10"
Burton Chambers  - Luf,Consultants Fees,CONSULTANCY WORK  JULY 23,B000024282/67812,Ma Cost Consulting Limited,29 August 2023,"2,666.67"
Burton Chambers  - Luf,Consultants Fees,CONSULTANCY WORK JUN 23,B000024282/67812,Ma Cost Consulting Limited,29 August 2023,"1,666.67"
Market Chambers - Luf,Consultants Fees,CONSULTANCY WORK  JULY 23,B000024282/67812,Ma Cost Consulting Limited,29 August 2023,"2,666.67"
Market Chambers - Luf,Consultants Fees,CONSULTANCY WORK JUN 23,B000024282/67812,Ma Cost Consulting Limited,29 August 2023,"1,666.66"
Market Hall - Luf,Consultants Fees,CONSULTANCY WORK  JULY 23,B000024282/67812,Ma Cost Consulting Limited,29 August 2023,"2,666.66"
Market Hall - Luf,Consultants Fees,CONSULTANCY WORK JUN 23,B000024282/67812,Ma Cost Consulting Limited,29 August 2023,"1,666.67"
Emergency Works Grant,Contractor Other,EMERGENCY WORKS,B000024282/68216,Scl Building Services Limited,29 August 2023,290.30
HOUSING BENEFIT ADMIN,ALLPAY,JULY,36821,ALLPAY.NET LTD,29 August 2023,1122.64
Registration Of Electors,Canvass,1ST PRINT RUN - ANNUAL CANVAS,B000024258/62168,Civica Election Services,31 August 2023,"12,891.56"
Human Resources,Training Expenses,NATIONAL TRAINING CONFERENCE,B000024259/54674,The Institute Of Licensing,31 August 2023,719.10
Cvmu,Materials-Direct,BUMPERS,B000024260/1164,Dennis Eagle Limited,31 August 2023,470.77
Cvmu,Materials-Direct,DOOR LATCH,B000024260/1164,Dennis Eagle Limited,31 August 2023,368.08
Cvmu,Materials-Direct,HEAT SHIELD,B000024260/1164,Dennis Eagle Limited,31 August 2023,215.79
Parks & Open Spaces,Materials-Direct,CRANKSHAFT,B000024260/68556,Rob Mercer,31 August 2023,639.21
Cvmu,Materials-Direct,HOSE/COUPLINGS,B000024260/7228,Pirtek Preston 2004 Ltd,31 August 2023,212.06
Accrington Town Centre,Event Expenditure,50% ARTS IN THE MARKET EVENT SUMMER PROGRAMME,B000024264/61031,New Freedom,31 August 2023,450.00
Accrington Town Centre,Event Expenditure,TRAFFIC MANAGEMENT FOR OAKFEST,B000024264/68681,Paragon Traffic Management Limited,31 August 2023,"1,015.00"
Parks & Open Spaces,Printing,DRIVER RECORD BOOKS,B000024266/1344,Ellison Printing,31 August 2023,134.50
Refuse Collection,Printing,DRIVER RECORD BOOKS,B000024266/1344,Ellison Printing,31 August 2023,134.50
Parks & Open Spaces,Private Contractors Work,INSTALL RECYCLED PLASTIC SLATS,B000024266/54326,Ark Plastics Ltd,31 August 2023,235.00
Accountancy,Agency Staff,TEMPORARY STAFF -W/C 07-08-23,B000024267/58852,Oyster Partnership,31 August 2023,"3,550.00"
Building Control B.U.,Agency Staff,TEMPORARY STAFF -W/C 07/08/23,B000024267/58852,Oyster Partnership,31 August 2023,"1,953.00"
Building Control B.U.,Agency Staff,TEMPORARY STAFF -W/C 24-08-23,B000024267/58852,Oyster Partnership,31 August 2023,784.80
Development Control B.U.,Agency Staff,TEMPROARY STAFF-W/C 07-08-23,B000024267/58852,Oyster Partnership,31 August 2023,463.20
Planning Policy B.U.,Agency Staff,TEMPORARY STAFF - W/C 07-08-23,B000024267/58852,Oyster Partnership,31 August 2023,"1,646.50"
Environmental Protection,Agency Staff,TEMPORARY STAFF - W/C 13-08-23,B000024267/61860,Vivid Resourcing,31 August 2023,826.88
Dev Control,Dev Control System,TECHNICAL CONSULTANCY NEC SOFTWARE SOLUTIONS LTD,B000024267/65823,Nec Software Solutions Uk Ltd,31 August 2023,"2,800.00"
Corporate Property Bus Unit,Agency Staff,STAFF PE 13.08.23  ,B000024268/61657,G2 Recruitment Solutions,31 August 2023,"1,215.00"
Housing Advice,Agency Staff,STAFF P/E 13.08.23 ,B000024268/61860,Vivid Resourcing,31 August 2023,"1,334.88"
Crm Digital Services,Subsidised Professional Subs,CIVICA PAYMENT GATEWAY INTEGRATION,B000024271/68117,Abavus Ltd,31 August 2023,"8,000.00"
Crm Digital Services,Subsidised Professional Subs,CONSULTANCY FEES JULY 2023,B000024271/68117,Abavus Ltd,31 August 2023,"10,374.82"
Registration Of Electors,New Equipment,"2 X 27"" ADJUSTBALE MONITORS WITH AUDIO",B000024271/68734,Hp Inc. Uk Limited,31 August 2023,254.78
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024274/9294,Stanley Brothers (Tippers) Ltd,31 August 2023,540.00
Hmo,Agency Staff,AGENCY STAFF- W/C 07.08.23,B000024275/58852,Oyster Partnership,31 August 2023,585.00
Library St Depot,Water Charges,WATER CHARGES CVMU 7.7.23-6.8.23,B000024280/8325,Water Plus Ltd,31 August 2023,389.62
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF - W/C 14.8.23,B000024281/19414,Proman Supply Chain Ltd,31 August 2023,467.16
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF - W/C 7.8.23,B000024281/19414,Proman Supply Chain Ltd,31 August 2023,350.37
Parks & Open Spaces,Agency Staff,AGENCY STAFF - W/C 14.8.23,B000024281/19414,Proman Supply Chain Ltd,31 August 2023,"1,807.77"
Parks & Open Spaces,Agency Staff,AGENCY STAFF- W/C 7.8.23,B000024281/19414,Proman Supply Chain Ltd,31 August 2023,"2,150.65"
Waste Services,Agency Staff,AGENCY STAFF - W/C 14.8.23,B000024281/19414,Proman Supply Chain Ltd,31 August 2023,550.93
Waste Services,Agency Staff,AGENCY STAFF W/C 31.7.23,B000024281/19414,Proman Supply Chain Ltd,31 August 2023,550.93
Waste Services,Agency Staff,AGENCY STAFF W/C 7.8.23,B000024281/19414,Proman Supply Chain Ltd,31 August 2023,550.93
Refuse Collection,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS WASTE SERVICES,B000024281/60522,Trakm8 Holdings Plc,31 August 2023,240.00
Parks & Open Spaces,Cleaning Of Buildings,BUILDING CLEANING WILSONS,B000024281/68396,Servicemaster Cs Aaa,31 August 2023,289.86
Mayoralty,Civic Luncheon,"PRINTING, FRAMING AND MOUNTING OF IMAGES ",B000024284/1610,Garth Dawson Studio,31 August 2023,274.00
Licensing,Office Consumables,500 'NO EXCUSE FOR ABUSE' WINDOW STICKERS,B000024284/61372,Private Hire & Taxi Monthly Ltd,31 August 2023,260.00
Licensing,Barristers Fees,BARRISTER FEES,B000024284/61448,Trinity Chambers,31 August 2023,375.00
Underspends Bids,Private Contractors Work,REMOVAL OF ASH TREE ,B000024286/22189,Roy Cattermole (Tree Surgeon),31 August 2023,500.00
Bullough Park Playground,Contractor Other,UPGRADE SAFETY SURFACE IN PLAY AREA ,B000024286/60721,Groundwork & Leisure Services Limited,31 August 2023,"4,636.00"
Parks & Open Spaces,Playground Repairs,REMOVE OLD ROUNDABOUT AND FIT NEW ONE,B000024286/60721,Groundwork & Leisure Services Limited,31 August 2023,710.00
Parks & Open Spaces,Private Contractors Work,REPAIRS TO SAFETY SURFACE AT CUTWOOD PARK,B000024286/60721,Groundwork & Leisure Services Limited,31 August 2023,"3,300.00"
Cvmu,Electricity,FUEL,B000024286/64492,Certas Energy,31 August 2023,"31,145.12"
Waste Services,Protective Clothing,ASBESTOS FOLD FLAT P3 MASKS OS,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,21.18
Waste Services,Protective Clothing,GRAFITTI REMOVER,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,167.76
Waste Services,Protective Clothing,SAFETY BOOTS 7/8/9/11,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,219.05
Waste Services,Protective Clothing,HI VIS BOMBER JACKET ORANGE M,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,23.69
Waste Services,Protective Clothing,NAVY BASEBALL CAP OS,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,49.80
Waste Services,Protective Clothing,PORTWEST HI VIS BALLISTIC TROUSERS M,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,191.22
Waste Services,Protective Clothing,SUMO X5 GLOVES 9/10,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,956.00
Waste Services,Protective Clothing,TWO TONE SWEATSHIRT ORANGE/NAVY M/L/XL,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,90.93
Waste Services,Protective Clothing,WHITE ASBESTOS SUIT XL,B000024286/666,"Bubbles, Brushes & Wiper Co Ltd",31 August 2023,89.70
Oakhill Prk Tenniscourt Refurb,Contractor Other,REFURB TENNIS COURTS,B000024286/68264,Sportex Group Limited,31 August 2023,"11,689.79"
General Fund B/S,Communities For Health 2,CAR PARK CLOSURE,B000024287/27030,Lighting And Building Services Ltd,31 August 2023,300.00
Ukspf - Regeneration,Event Expenditure,UK SPF GRANT PAYMENT,B000024287/29112,Hyndburn Leisure,31 August 2023,"117,269.00"
Ukspf - Regeneration,Fees-Analysts & Consultants,UK SPF GRANT PAYMENT,B000024287/29112,Hyndburn Leisure,31 August 2023,"14,731.00"
Development Control B.U.,Agency Staff,STAFF WE 13.08.23 AND 20.08.23,B000024287/67448,Macdonald & Company,31 August 2023,"2,699.17"
Planning Policy B.U.,Agency Staff,STAFF WE 06.08.23  20.08.23,B000024287/67448,Macdonald & Company,31 August 2023,"2,054.00"
Housing Advice,Lifelong Learning,DEPOSIT,B000024287/68775,Brogan Properties,31 August 2023,600.00
Scaitcliffe House,Cleaning Materials,CLEANING MATERIALS,B000024287/7033,Option Hygiene,31 August 2023,256.71
Administration Services,Postages,POSTAGE,B000024287/7231,Pitney Bowes Ltd,31 August 2023,"10,021.12"
Psds Hlc,Contractor Other,HLC DECARBON FT LEISURE POOL STRAINERS,B000024289/58262,F T Leisure,31 August 2023,"9,172.91"
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - ACC CEM,B000024289/60330,Calbarrie Compliance Services,31 August 2023,251.40
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - CANNON ST,B000024289/60330,Calbarrie Compliance Services,31 August 2023,554.70
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - G-H CEM,B000024289/60330,Calbarrie Compliance Services,31 August 2023,616.20
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - MERCER PARK,B000024289/60330,Calbarrie Compliance Services,31 August 2023,730.00
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - OAKHILL,B000024289/60330,Calbarrie Compliance Services,31 August 2023,"3,922.20"
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - PEEL ST TOILETS,B000024289/60330,Calbarrie Compliance Services,31 August 2023,351.00
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - RHYDDINGS,B000024289/60330,Calbarrie Compliance Services,31 August 2023,"1,596.48"
Electical Works Various,Contractor Other,EICR REMEDIAL WORKS - WILSONS,B000024289/60330,Calbarrie Compliance Services,31 August 2023,433.50
Market Chambers - Luf,Legal Fees,LEGAL FEES POST CPO,B000024290/66553,Womble Bond Dickinson,31 August 2023,"1,918.00"
Market Chambers - Luf,Consultants Fees,VALUATION FEES,B000024290/66574,Cbre Ltd,31 August 2023,"3,500.00"
Accountancy,Mgnt Fees - Salary Sacrifice,AVC WISE  JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,8.96
Building Control B.U.,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,5.23
Bulky Waste Collection,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,8.96
Computer Services,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,11.20
Consultancy-Engineering Div,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,16.43
Customer Services,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,8.95
Development,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,33.67
Development Control B.U.,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,15.08
Environmental Initiatives B.U.,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,2.21
Environmental Protection,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,17.90
Health Food & Safety,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,13.40
Housing Benefit Administration,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,4.41
Housing Standards,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,0.86
Human Resources,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,13.37
Hyndburn Cemeteries,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,1.08
Internal Audit,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,20.21
Legal Services,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,14.58
Licensing,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,31.40
Local Taxation,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,11.09
Member Services,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,11.21
Parks & Open Spaces,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,9.81
Refuse/Cleansing Admin Staff,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,26.96
Waste Services,Mgnt Fees - Salary Sacrifice,AVC WISE JULY 23,B000024292/61891,Avc Wise Ltd,31 August 2023,36.00
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024292/62221,Rhea Projects,31 August 2023,"2,094.75"
Environmental Protection,Work In Default,WORK IN DEFAULT,B000024292/68546,All Seasons Recycling,31 August 2023,370.00
Housing Benefit Administration,Agency Staff,TEMP STAFF  W/E 20/08/23,B000024293/33923,Eden Brown Limited,31 August 2023,"1,010.10"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024293/50640,Prism Medical Uk,31 August 2023,"2,228.04"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024293/59330,Closomat Ltd,31 August 2023,"4,650.00"
Markets - Operations,Electricity,STALL 17/18 - 4.3.23 TO 1.7.23,B000024294/35310,Sse Energy Solutions,31 August 2023,398.79
Markets - Operations,General Repair & Maint Bldgs,SKIP HIRE - JULY 23,B000024294/59730,Blackburn Skips Limited,31 August 2023,578.76
Markets - Operations,General Subscriptions,MUSIC LICENCE - ACC MARKET,B000024294/60557,Ppl Prs Ltd,31 August 2023,"1,452.50"
Policy And Performance Review,Printing,DESIGN AND ARTWORK,B000024294/65011,Brands Inside Out Limited,31 August 2023,350.00
Markets - Operations,Cleaning Of Buildings,CLEANING - MARKETS - JUNE 23,B000024294/68396,Servicemaster Cs Aaa,31 August 2023,"1,988.05"
Markets - Operations,Cleaning Of Buildings,CLEANING MARKETS - MAY 23,B000024294/68396,Servicemaster Cs Aaa,31 August 2023,"1,988.05"
